Wavelength	S1
nm	CPS
270	370
271	360
272	350
273	250
274	320
275	450
276	300
277	280
278	430
279	310
280	250
281	350
282	370
283	290
284	330
285	310
286	340
287	450
288	410
289	220
290	400
291	370
292	370
293	370
294	470
295	410
296	330
297	360
298	390
299	400
300	280
301	310
302	480
303	400
304	440
305	430
306	380
307	430
308	400
309	520
310	380
311	440
312	480
313	420
314	430
315	540
316	370
317	560
318	510
319	530
320	470
321	430
322	480
323	570
324	520
325	500
326	430
327	450
328	390
329	550
330	540
331	610
332	330
333	430
334	560
335	380
336	670
337	500
338	660
339	590
340	520
341	590
342	510
343	530
344	460
345	610
346	640
347	480
348	420
349	450
350	560
351	620
352	480
353	510
354	430
355	470
356	510
357	760
358	540
359	620
360	640
361	640
362	610
363	580
364	530
365	550
366	600
367	460
368	580
369	470
370	750
371	590
372	610
373	670
374	490
375	510
376	750
377	520
378	620
379	650
380	670
381	640
382	510
383	730
384	600
385	830
386	420
387	530
388	670
389	700
390	810
391	630
392	570
393	790
394	500
395	560
396	580
397	700
398	610
399	650
400	670
401	510
402	620
403	620
404	570
405	630
406	680
407	630
408	660
409	550
410	600
411	520
412	800
413	650
414	460
415	760
416	610
417	500
418	730
419	590
420	660
421	470
422	450
423	640
424	600
425	510
426	520
427	610
428	660
429	670
430	620
