Wavelength	R1
nm	MicroAmps
200	0.0121617109901216
201	0.0121437113417608
202	0.0121584642060353
203	0.0121631829863727
204	0.0121707973602428
205	0.0121657512312088
206	0.0121691832665239
207	0.0121723728301534
208	0.0121743550421444
209	0.0121668479566308
210	0.0121609845287388
211	0.0121567714341883
212	0.0121627206927655
213	0.0121611578590391
214	0.0121463832986748
215	0.0121452911032057
216	0.0121455741060482
217	0.0121307559150856
218	0.0121457772386699
219	0.0121349876062845
220	0.0121475064885581
221	0.012170489561869
222	0.0122026889434217
223	0.0122499108406516
224	0.012294194944262
225	0.0123657858419502
226	0.0124733688838027
227	0.0125985794026282
228	0.0127860071546437
229	0.0130301613601822
230	0.0133267156758724
231	0.013736215305473
232	0.0142380067635207
233	0.0148787335437944
234	0.0156524311289285
235	0.0165282662757763
236	0.0175232449040988
237	0.0186399412191963
238	0.0199053148777086
239	0.0212671352850874
240	0.0227550876990646
241	0.0243434078937105
242	0.0260164410673002
243	0.027742934836841
244	0.0296221116201912
245	0.031552199351305
246	0.033605281500636
247	0.0358373571066503
248	0.0379880986016948
249	0.0401960019025711
250	0.0425825443701355
251	0.0450695290049624
252	0.0476930724057096
253	0.0504388301191132
254	0.0531699789730585
255	0.056259844539613
256	0.0593351618050261
257	0.0625151939368947
258	0.0657733114882982
259	0.0692883128895296
260	0.0729274524028587
261	0.0765742701862346
262	0.0801518106857256
263	0.0839403101348354
264	0.0878640360668964
265	0.091785767866038
266	0.0960942489179935
267	0.100284918771444
268	0.104676119146261
269	0.109283185601704
270	0.114151142054208
271	0.119414434642742
272	0.124783489708929
273	0.13025451210597
274	0.136128989029769
275	0.142316126397337
276	0.148361215888247
277	0.154932862327745
278	0.161503234419986
279	0.168401854285265
280	0.17558532998226
281	0.182613185110244
282	0.189790245201939
283	0.197070553170627
284	0.204397782390729
285	0.212069165955603
286	0.219766434863041
287	0.227855286006125
288	0.236103662060722
289	0.244686066585005
290	0.256109509466331
291	0.267959631942575
292	0.273343721206949
293	0.281381287323533
294	0.289932617086658
295	0.298655737681466
296	0.306869642702375
297	0.314312581461288
298	0.321769088621019
299	0.328804854000319
300	0.335246414976491
301	0.341465844232016
302	0.347630255303073
303	0.352819769265121
304	0.358542714736804
305	0.363387790397563
306	0.36828786779191
307	0.372946940251609
308	0.377367122310958
309	0.381732583493795
310	0.386072000785719
311	0.390566681495636
312	0.396412223464944
313	0.401692771359063
314	0.403964768485694
315	0.407274590918699
316	0.410691215334322
317	0.414265904586134
318	0.418584334845016
319	0.422737342909056
320	0.42750480831849
321	0.432360603993412
322	0.439891945258639
323	0.445224117448884
324	0.446694846505364
325	0.449618471147708
326	0.453583795875025
