FilB.csv,,MSU\jackpearson1 (Pearson, Jack),2/28/2022 1:27:02 PM,GENESYS 10S,2L6M161001,2.001
nm,A
633,0.001
634,0.0015
635,0.001
636,0.0014
637,0.0014
638,0.0018
639,0.0007
640,0.0013
641,0.001
642,0.0015
643,0.0013
644,0.0008
645,0.0008
646,0.0017
647,0.0012
648,0.0013
649,0.0013
650,0.0002
651,0.0013
652,0.0007
653,0.0009
654,0.0015
655,0.0016
656,0.0015
657,0.0012
658,0.0011
659,0.0016
660,0.0012
661,0.0013
662,0.0004
663,0.0013
664,0.0006
665,0.001
666,0.0009
667,0.0007
668,0.0018
669,0.0012
670,0.0015
671,0.0014
672,0.0012
673,0.0018
674,0.0014
675,0.0013
676,0.001
677,0.0013
678,0.0012
679,0.0017
680,0.0012
681,0.0013
682,0.0013
683,0.0009
684,0.0013
685,0.0013
686,0.0015
687,0.0012
688,0.001
689,0.0012
690,0.0013
691,0.0015
692,0.0011
693,0.0014
694,0.0011
695,0.001
696,0.0014
697,0.0008
698,0.0015
699,0.0012
700,0.0015
701,0.002
702,0.0011
703,0.0014
704,0.0012
705,0.0013
706,0.0013
707,0.0013
708,0.0011
709,0.0011
710,0.0018
711,0.0012
712,0.0017
713,0.0016
714,0.0014
715,0.0013
716,0.0014
717,0.0015
718,0.0013
719,0.0015
720,0.0012
721,0.0012
722,0.0015
723,0.0003
724,0.0007
725,0.0004
726,0.0011
727,0.0011
728,0.0008
729,0.002
730,0.0005
731,0.001
732,0.0008
733,0.0016
734,0.0018
735,0.0012
736,0.0019
737,0.002
738,0.0015
739,0.0013
740,0.0012
741,0.0006
742,0.0018
743,0.0006
744,0.0016
745,0.0019
746,0.0015
747,0.0009
748,0.0007
749,0.0016
750,0.0008
751,0.0016
752,0.0008
753,0.0009
754,0.0014
755,0.0018
756,0.0014
757,0.0013
758,0.0003
759,0.0013
760,0.0012
761,0.0013
762,0.0011
763,0.0017
764,0.0014
765,0.0018
766,0.0008
767,0.0011
768,0.0011
769,0.001
770,0.0006
771,0.002
772,0.0009
773,0.0003
774,0.0016
775,0.0011
776,0.0004
777,0.0023
778,0.001
779,0.0025
780,0.0018
781,0.0019
782,0.0006
783,0.0015
784,0.0016
785,0.0012
786,0.0012
787,0.0018
788,0.0026
789,0.0018
790,0.002
791,0.0009
792,0.0003
793,0.0018
794,0.0016
795,0.001
796,0.0011
797,0.0009
798,0.0011
799,0.0009
800,0.0014
801,0.0003
802,0.0009
803,0.0005
804,0.0005
805,0.0016
806,0.001
807,0.0015
808,0.0006
809,0.0011
810,0.0008
811,0.0009
812,0.0013
813,0.0013
814,0.0015
815,0.0007
816,0.0002
817,0.0006
818,0.0006
819,0.0009
820,0.0011
821,0.0012
822,0.0018
823,0.0012
824,0.0012
825,0.0012
826,0.0011
827,0.0011
828,0.0011
829,0.0011
830,0.0013
831,0.0013
832,0.0013
833,0.0013
834,0.0017
835,0.0009
836,0.0014
837,0.0013
838,0.0013
839,0.0005
840,0.0011
841,0.0013
842,0.0011
843,0.0015
844,0.0013
845,0.0019
846,0.0011
847,0.001
848,0.0008
849,0.0006
850,0.0002
851,0.0006
852,0.0017
853,0.0002
854,0.0015
855,0.0013
856,0.0004
857,0.0006
858,0.0004
859,0.001
860,0.0019
861,0.0011
862,0.0011
863,0.0013
864,0.001
865,0.0003
866,0.0009
867,0.0005
868,0.0009
869,0.0005
870,0.002
871,0.0014
872,0.0008
873,0.0011
874,0.0014
875,0.0004
876,0.001
877,0.001
878,0.0006
879,0.0013
880,0.0014
881,0.0013
882,0.0012
883,0.0012
884,0.001
885,0.001
886,0.001
887,0.0013
888,0.0012
889,0.0011
890,0.0012
891,0.001
892,0.0004
893,0.001
894,0.0011
895,0.0013
896,0.0011
897,0.0011
898,0.0009
899,0.001
900,0.0012
901,0.0015
902,0.0011
903,0.0017
904,0.0014
905,0.0011
906,0.0011
907,0.0011
908,0.0008
909,0.0013
910,0.0004
911,0.0012
912,0.0003
913,0.0012
914,0.0016
915,0.0014
916,0.0013
917,0.0014
918,0.0012
919,0.0011
920,0.0012
921,0.0008
922,0.0008
923,0.0012
924,0.0011
925,0.0012
926,0.0013
927,0.0014
928,0.0015
929,0.0017
930,0.0017
931,0.0014
932,0.0006
933,0.0013
934,0.0017
935,0.0019
936,0.0012
937,0.0018
938,0.0019
939,0.0018
940,0.0016
941,0.0018
942,0.002
943,0.0025
944,0.0019
945,0.002
946,0.0006
947,0.0029
948,0.0021
949,0.0026
950,0.0024
951,0.0025
952,0.0028
953,0.0021
954,0.002
955,0.0025
956,0.0029
957,0.0032
958,0.0025
959,0.0033
960,0.0036
961,0.0037
962,0.0032
963,0.0029
964,0.0032
965,0.0036
966,0.0035
967,0.003
968,0.0034
969,0.0039
970,0.0034
971,0.0032
972,0.0035
973,0.0031
974,0.0027
975,0.0031
976,0.0029
977,0.0028
978,0.0028
979,0.0028
980,0.0027
981,0.0027
982,0.0025
983,0.0024
984,0.0029
985,0.0024
986,0.0021
987,0.002
988,0.0022
989,0.002
990,0.0017
991,0.0023
992,0.002
993,0.0019
994,0.0018
995,0.0015
996,0.0016
997,0.0015
998,0.0015
999,0.002
1000,0.0011
1001,0.0016
1002,0.0008
1003,0.0009
1004,0.0012
1005,0.0011
1006,0.0014
1007,0.0012
1008,0.0008
1009,0.0015
1010,0.0012
1011,0.0001
1012,0.001
1013,0.0007
1014,0.0008
1015,0.0011
1016,-0.0012
1017,-0.0003
1018,0.0003
1019,-0.0014
1020,0.0007
1021,0.0006
1022,0.0004
1023,0.0006
1024,0.001
1025,0.0017
1026,0
1027,-0.0005
1028,0.0011
1029,-0.0011
1030,-0.0002
1031,-0.0001
1032,-0.0004
1033,0.0003
1034,-0.0009
1035,-0.0015
1036,-0.0005
1037,-0.0018
1038,0.0005
1039,0
1040,0.0003
1041,0.001
1042,-0.0002
1043,0.0002
1044,-0.0016
1045,-0.0036
1046,0.0021
1047,0.0004
1048,-0.0039
1049,-0.0016
1050,0.0015
1051,-0.0002
1052,-0.0019
1053,-0.001
1054,-0.0007
1055,0.0006
1056,-0.0004
1057,-0.0014
1058,-0.0001
1059,-0.0041
1060,-0.0014
1061,-0.0016
1062,-0.0004
1063,-0.0015
1064,-0.0016
1065,-0.0014
1066,-0.0015
1067,-0.0014
1068,-0.0003
1069,0.0001
1070,-0.0005
1071,-0.0011
1072,0.0015
1073,-0.005
1074,-0.0022
1075,-0.0047
1076,-0.0004
1077,-0.0015
1078,-0.0045
1079,0.0036
1080,-0.0021
1081,0.006
1082,0.002
1083,0.0004
1084,-0.0057
1085,-0.0017
1086,0.0042
1087,-0.0027
1088,0.0054
1089,-0.0018
1090,-0.0035
1091,-0.003
1092,-0.0022
1093,-0.0013
1094,-0.0053
1095,-0.0032
1096,-0.0049
1097,0
1098,0.0004
1099,0.0005
1100,0.0054
