Wavelength	240	250	260	270	280	290	300	310	320	330	340	350	360	370	380	390	400	410	420	430	440	450
300	95161.94105	107741.6442	211695.5545	3182631.777	718462.7206	610934.1542	72422520.24	409937.3154	57086.6144	21872.5083	17924.25157	14488.14969	8859.337242	6166.185018	6676.914588	5163.46296	5235.750713	3924.416017	4465.749594	3451.80502	3277.690538	3768.992411
302	106952.9556	128818.0764	195761.5905	2164293.286	1244851.332	400268.9175	65675211.95	4411571.621	59339.28811	22176.45512	20951.35702	12206.52626	8366.689827	5982.214699	5137.508083	5371.441791	4569.940309	4060.278291	3813.663577	3579.932524	3346.663025	3222.356535
304	115879.6002	124573.4552	213621.5359	1213951.155	2009872.644	392839.6315	40177820.05	17037783.27	66439.61145	22481.01547	20922.03976	15411.01484	8162.198204	5758.9531	5140.224945	5577.643439	4253.214974	3962.331881	5043.386737	3255.2435	3119.865026	3571.026237
306	123545.7935	135411.2006	241546.281	727607.4357	3232321.236	435390.0057	16414342.5	40598085.23	82750.66643	26710.09833	20717.80935	16235.64373	9154.930966	5704.991737	5225.034741	5879.091877	4792.262855	3547.052176	4298.856377	3783.168635	2903.63212	3566.651123
308	114512.7446	153192.6058	231593.4974	517658.9768	4119454.828	437345.4489	3568521.854	60823969.68	118694.4885	26106.83876	22433.16246	17450.87775	8375.849253	6404.85856	4817.868859	5835.876466	4384.250318	3032.082599	4259.405199	3036.287306	2655.53846	5132.515787
310	133568.8492	138555.0385	222355.0388	457783.3507	4168237.855	450709.5588	489750.5496	68014126.57	392928.9456	37928.23437	22351.43687	15448.34699	8554.208469	5040.743851	3668.541769	4554.864315	4625.856159	3245.800235	4691.389925	3189.522631	2161.879206	5006.232278
312	128151.4107	126856.1596	212996.556	444392.1105	3469575.134	581523.4533	281128.117	55450412.63	3905250	36109.49242	20503.53695	17012.16782	7967.610483	5583.966786	3756.91491	4553.06639	4372.00625	3492.778541	4680.591684	2788.960592	3471.5694	4689.614307
314	112705.4737	124167.5527	210882.1865	442067.9668	2457736.879	960360.7576	244056.4006	32497625.64	15498121.17	43474.40642	20532.30935	16367.00274	8613.572144	5018.074616	4480.792225	5115.475904	3666.250854	3720.446308	4555.869393	2979.242187	3400.51656	4704.801053
316	106908.2432	119918.3259	218839.514	408933.6121	1525550.004	1580629.738	210632.747	11953715.93	35080909.15	54666.39928	22077.37142	17182.77337	8545.578562	5234.24719	4247.063942	4537.342327	3696.833827	3142.387175	4044.222089	2806.266846	2416.221084	4919.961724
318	108271.885	109588.3964	218405.9427	395469.4602	940456.4945	2501647.854	192957.2152	2953891.121	54454324.05	70847.96704	23687.44096	16149.69499	8285.455022	5376.015813	4608.749362	4329.651651	3871.809918	2886.110291	4007.335514	3502.381085	2380.105955	4037.341045
320	115904.3263	120065.602	218005.0197	407049.1837	687426.4046	3198314.208	201708.6131	367635.9057	64212472.56	205683.1439	23066.88022	14933.2255	8904.126343	6173.484838	4139.080182	5377.537583	3611.346686	3315.972145	3096.38182	3535.566427	2704.240644	4161.719412
322	112157.2078	117213.8695	215408.2806	418144.3179	617446.299	3210794.535	218892.2685	205472.8032	52981544.12	2403221.664	28865.73148	17933.12973	8724.970873	5382.229873	4242.14659	5250.27013	3771.133462	3277.682199	3544.604678	2903.22386	2230.994839	3758.757407
324	110535.9604	115914.8532	214103.9213	414281.1871	637411.1992	2845671.777	302669.6564	166543.0469	31806630.58	10387099.49	34050.31526	15350.43451	9125.110011	5023.204521	3877.536651	4185.31939	3865.636523	2780.796356	3602.012741	2820.751879	2007.654081	3600.980896
326	110111.8521	110054.9745	190549.5461	386522.8881	589033.3446	2065846.22	554978.904	166249.9341	13311805.38	25006497.23	45673.00354	17224.15797	8639.751783	4749.915174	4073.679336	4138.336484	3811.597295	2647.918034	3003.784401	2408.285612	2097.400935	2993.027219
328	121519.6674	114577.0298	200696.9478	379831.1176	533201.7801	1259881.287	981130.1261	149898.5431	3150283.17	42752583.78	65242.0844	18083.30885	9027.401087	5172.369124	3453.278492	3611.202943	3299.881387	3071.347129	3307.419496	2905.958219	1816.506581	3214.257583
330	111303.6048	108027.3568	193275.7837	360006.5385	528772.1241	777833.7701	1664651.57	135542.1014	407691.2161	49612268.43	153819.9226	19155.2527	9104.871325	5593.076611	3460.982068	3552.96451	3432.936524	2928.1178	3069.401926	2522.506406	1803.161042	3113.470102
332	102295.2918	115344.2702	211867.0232	366588.8514	502898.6193	511745.2671	2094073.234	131893.2097	199275.1852	38624193.36	1646288.751	20189.48942	9888.094498	5166.732385	3239.102868	3203.427743	3039.573026	2728.81693	2875.737951	2882.36304	2034.035975	3192.144577
334	109471.6182	114290.7384	188304.0415	364582.255	494686.1662	416396.5572	2216644.69	152712.4893	177200.0867	22764361.53	7145480.532	24888.64512	9083.433327	6056.638008	3266.130311	3280.52156	3306.487575	2805.55999	2842.471119	2271.213796	1909.547528	3329.109793
336	107256.1148	99662.42056	186064.2116	348632.3958	460038.3415	440898.6614	1961845.936	212081.0006	155692.1715	8822453.919	17487789.55	29506.52815	9753.055705	6363.340372	3553.965957	3730.929527	2802.214591	2573.93645	2346.601611	1953.524186	1698.514768	3444.653106
338	102066.1502	95878.20246	172665.9998	338875.0587	462572.5978	420057.7426	1392301.163	348988.5419	148107.8387	2241330.105	27609704.88	40529.13349	10357.79811	5855.670022	3425.380473	3368.037007	2449.358329	2177.722386	2436.41197	1977.707756	1422.413831	2939.488023
